date,average_glucose,median_glucose,min_glucose,max_glucose,reading_count
2020-12-12,126.49652777777777,131.0,53.0,203.0,288
2020-12-13,169.53472222222223,145.83333333333331,54.0,317.0,288
2020-12-14,135.20572916666666,143.33333333333331,57.0,202.0,288
2020-12-15,91.4808360042735,64.375,43.0,181.0,288
2020-12-16,152.81343482905982,148.22435897435895,81.15384615384616,272.0,288
2020-12-17,142.67708333333334,147.0,56.0,225.0,288
2020-12-18,108.61631944444444,102.0,52.0,180.0,288
2020-12-19,95.47743055555556,95.66666666666666,40.0,170.0,288
2020-12-20,126.20659722222223,127.5,75.0,181.0,288
2020-12-21,124.21527777777777,119.16666666666666,71.0,193.0,288
2020-12-22,125.67361111111111,110.33333333333331,87.0,215.0,288
2020-12-23,99.71006944444444,88.0,61.0,165.0,288
2020-12-24,104.30381944444444,91.0,68.0,181.0,288
2020-12-25,152.89236111111111,148.0,68.0,280.0,288
2020-12-26,100.890625,97.5,53.0,158.0,288
2020-12-27,129.25868055555554,132.0,63.0,198.0,288
2020-12-28,87.80902777777777,87.0,53.0,181.0,288
2020-12-29,95.42621527777777,116.66666666666666,53.0,129.0,288
2020-12-30,109.57204861111111,113.32427536231884,67.0,159.0,288
2020-12-31,117.32118055555556,116.66666666666666,65.0,171.0,288
2021-01-01,183.0625,178.0,56.0,308.0,288
2021-01-02,108.46701388888889,111.0,67.0,180.0,288
2021-01-03,125.65972222222223,114.33333333333331,53.0,218.0,288
2021-01-04,120.22222222222223,117.33333333333331,58.0,203.0,288
2021-01-05,121.95833333333333,126.66666666666666,70.0,195.0,288
2021-01-06,91.98263888888889,80.66666666666666,59.0,163.0,288
2021-01-07,104.69791666666667,104.0,58.0,167.0,288
2021-01-08,118.69791666666667,109.16666666666666,59.0,191.0,288
2021-01-09,97.890625,87.33333333333333,59.0,168.0,288
2021-01-10,95.31076388888889,95.0,61.0,151.0,288
2021-01-11,114.78819444444444,121.83333333333334,53.0,182.0,288
2021-01-12,124.08854166666667,114.0,67.0,200.0,288
2021-01-13,127.22916666666667,122.48333333333335,72.0,206.0,288
2021-01-14,167.44097222222223,163.0,60.0,325.0,288
2021-01-15,111.01215277777777,113.0,62.0,165.0,288
2021-01-16,116.93402777777777,109.33333333333331,64.0,187.0,288
2021-01-17,113.66493055555556,108.5,60.0,184.0,288
2021-01-18,125.14930555555556,123.0,53.0,222.0,288
2021-01-19,152.86458333333334,163.5,64.0,228.0,288
2021-01-20,158.06597222222223,148.83333333333331,55.0,281.0,288
2021-01-21,141.53472222222223,125.33333333333334,55.0,293.0,288
2021-01-22,116.953125,102.16666666666666,53.0,194.0,288
2021-01-23,135.45833333333334,137.5,56.0,250.0,288
2021-01-24,95.47222222222223,88.66666666666667,62.0,153.0,288
2021-01-25,149.97569444444446,145.66666666666666,73.0,225.0,288
2021-01-26,118.53968253968254,117.0,59.0,191.0,288
2021-01-27,137.63087864650365,130.0,61.0,196.0,288
2021-01-28,159.4370777027027,142.39189189189187,72.66666666666667,295.0,288
2021-01-29,144.51388888888889,144.16666666666669,64.0,224.0,288
2021-01-30,124.61805555555556,122.16666666666666,62.0,222.3333333333333,288
2021-01-31,142.63715277777777,129.5,65.0,228.0,288
2021-02-01,148.28125,140.83333333333331,97.0,209.0,288
2021-02-02,123.75347222222223,115.0,68.0,212.0,288
2021-02-03,182.01909722222223,181.16666666666663,78.0,277.0,288
2021-02-04,115.53819444444444,101.16666666666666,58.333333333333336,207.0,288
2021-02-05,130.09548611111111,127.83333333333334,57.0,187.0,288
2021-02-06,107.28472222222223,97.33333333333331,60.0,191.0,288
2021-02-07,115.91319444444444,105.0,57.0,212.0,288
2021-02-08,103.46701388888889,97.5,65.0,167.0,288
2021-02-09,110.36111111111111,96.66666666666669,53.0,195.0,288
2021-02-10,164.81597222222223,143.83333333333331,91.0,289.0,288
2021-02-11,125.85243055555556,130.12393162393164,56.0,169.0,288
2021-02-12,118.12847222222223,106.5,60.0,218.0,288
2021-02-13,158.89930555555554,156.66666666666669,53.0,314.0,288
2021-02-14,122.63541666666667,118.66666666666666,77.0,220.0,288
2021-02-15,136.77604166666666,145.0,60.0,198.0,288
2021-02-16,132.90625,129.33333333333331,75.0,234.0,288
2021-02-17,147.50694444444446,145.16666666666669,81.0,255.0,288
2021-02-18,147.37326388888889,141.0,64.0,275.0,288
2021-02-19,138.671875,119.0,63.0,262.0,288
2021-02-20,116.84895833333333,106.0,59.0,218.3333333333333,288
